"주차장코드","주차장명","주소","주차장 종류","주차장 종류명","운영구분","운영구분명","전화번호","주차현황 정보 제공여부","주차현황 정보 제공여부명","주차 면(주차 가능 차량 수)","현재 주차중인 대수","현재 주차 차량 업데이트 시간","유무료구분","유무료구분명","야간무료개방여부","야간무료개방여부명","평일 운영 시작시각(HHMM)","평일 운영 종료시각(HHMM)","주말 운영 시작시각(HHMM)","주말 운영 종료시각(HHMM)","공휴일 운영 시작시각(HHMM)","공휴일 운영 종료시각(HHMM)","최종데이터 동기화 시간","토요일 유,무료 구분","토요일 유,무료 구분명","공휴일 유,무료 구분","공휴일 유,무료 구분명","월 정기권 금액","노상 주차장 관리그룹번호","기본 주차 요금","기본 주차 시간(분 단위)","추가 단위 요금","추가 단위 시간(분 단위)","버스 기본 주차 요금","버스 기본 주차 시간(분 단위)","버스 추가 단위 시간(분 단위)","버스 추가 단위 요금","일 최대 요금","주차장 위치 좌표 위도","주차장 위치 좌표 경도","배정코드","배정코드명"
"1191036","동부청과(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","02-2272-8821","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","25","1","2019-10-12 19:35:14","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2019-06-10 09:58:43","N","무료","N","무료","0","1123010200001","250","5","250","5","0","0","0","0","0","37.57740258","127.04460118","PIS02","미배정미점유"
"1191036","동부청과(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","02-2272-8821","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","25","1","2019-10-12 19:35:14","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2019-06-10 09:58:43","N","무료","N","무료","0","1123010200001","250","5","250","5","0","0","0","0","0","37.57742784","127.04456566","PIS02","미배정미점유"
"1191036","동부청과(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","02-2272-8821","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","25","1","2019-10-12 19:35:14","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2019-06-10 09:58:43","N","무료","N","무료","0","1123010200001","250","5","250","5","0","0","0","0","0","37.57735487","127.04470175","PIS02","미배정미점유"
"1191036","동부청과(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","02-2272-8821","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","25","1","2019-10-12 19:35:14","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2019-06-10 09:58:43","N","무료","N","무료","0","1123010200001","250","5","250","5","0","0","0","0","0","37.57757826","127.04429995","PIS02","미배정미점유"
"1191036","동부청과(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","02-2272-8821","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","25","1","2019-10-12 19:35:14","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2019-06-10 09:58:43","N","무료","N","무료","0","1123010200001","250","5","250","5","0","0","0","0","0","37.5775673","127.04432393","PIS02","미배정미점유"
"1191036","동부청과(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","02-2272-8821","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","25","1","2019-10-12 19:35:14","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2019-06-10 09:58:43","N","무료","N","무료","0","1123010200001","250","5","250","5","0","0","0","0","0","37.57737274","127.04466111","PIS02","미배정미점유"
"1191036","동부청과(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","02-2272-8821","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","25","1","2019-10-12 19:35:14","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2019-06-10 09:58:43","N","무료","N","무료","0","1123010200001","250","5","250","5","0","0","0","0","0","37.577398","127.04462576","PIS02","미배정미점유"
"1191036","동부청과(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","02-2272-8821","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","25","1","2019-10-12 19:35:14","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2019-06-10 09:58:43","N","무료","N","무료","0","1123010200001","250","5","250","5","0","0","0","0","0","37.57738883","127.04464583","PIS02","미배정미점유"
"1191036","동부청과(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","02-2272-8821","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","25","1","2019-10-12 19:35:14","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2019-06-10 09:58:43","N","무료","N","무료","0","1123010200001","250","5","250","5","0","0","0","0","0","37.57736403","127.04468166","PIS02","미배정미점유"
"1191036","동부청과(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","02-2272-8821","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","25","1","2019-10-12 19:35:14","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2019-06-10 09:58:43","N","무료","N","무료","0","1123010200001","250","5","250","5","0","0","0","0","0","37.57761479","127.04422763","PIS02","미배정미점유"
"1191036","동부청과(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","02-2272-8821","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","25","1","2019-10-12 19:35:14","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2019-06-10 09:58:43","N","무료","N","무료","0","1123010200001","250","5","250","5","0","0","0","0","0","37.57732923","127.0447429","PIS02","미배정미점유"
"1191036","동부청과(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","02-2272-8821","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","25","1","2019-10-12 19:35:14","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2019-06-10 09:58:43","N","무료","N","무료","0","1123010200001","250","5","250","5","0","0","0","0","0","37.57745063","127.04452698","PIS02","미배정미점유"
"1191036","동부청과(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","02-2272-8821","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","25","1","2019-10-12 19:35:14","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2019-06-10 09:58:43","N","무료","N","무료","0","1123010200001","250","5","250","5","0","0","0","0","0","37.57734175","127.04472194","PIS02","미배정미점유"
"1191036","동부청과(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","02-2272-8821","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","25","1","2019-10-12 19:35:14","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2019-06-10 09:58:43","N","무료","N","무료","0","1123010200001","250","5","250","5","0","0","0","0","0","37.57748598","127.04447237","PIS02","미배정미점유"
"1191036","동부청과(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","02-2272-8821","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","25","1","2019-10-12 19:35:14","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2019-06-10 09:58:43","N","무료","N","무료","0","1123010200001","250","5","250","5","0","0","0","0","0","37.57751468","127.04442006","PIS02","미배정미점유"
"1191036","동부청과(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","02-2272-8821","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","25","1","2019-10-12 19:35:14","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2019-06-10 09:58:43","N","무료","N","무료","0","1123010200001","250","5","250","5","0","0","0","0","0","37.57754183","127.04437209","PIS01","노상.점유중"
"1191036","동부청과(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","02-2272-8821","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","25","1","2019-10-12 19:35:14","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2019-06-10 09:58:43","N","무료","N","무료","0","1123010200001","250","5","250","5","0","0","0","0","0","37.57747265","127.04449564","PIS02","미배정미점유"
"1191036","동부청과(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","02-2272-8821","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","25","1","2019-10-12 19:35:14","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2019-06-10 09:58:43","N","무료","N","무료","0","1123010200001","250","5","250","5","0","0","0","0","0","37.57755359","127.04434657","PIS02","미배정미점유"
"1191036","동부청과(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","02-2272-8821","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","25","1","2019-10-12 19:35:14","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2019-06-10 09:58:43","N","무료","N","무료","0","1123010200001","250","5","250","5","0","0","0","0","0","37.57758831","127.0442753","PIS02","미배정미점유"
"1191036","동부청과(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","02-2272-8821","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","25","1","2019-10-12 19:35:14","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2019-06-10 09:58:43","N","무료","N","무료","0","1123010200001","250","5","250","5","0","0","0","0","0","37.57760165","127.04425171","PIS02","미배정미점유"
"1191036","동부청과(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","02-2272-8821","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","25","1","2019-10-12 19:35:14","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2019-06-10 09:58:43","N","무료","N","무료","0","1123010200001","250","5","250","5","0","0","0","0","0","37.57752788","127.04439617","PIS02","미배정미점유"
"1191036","동부청과(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","02-2272-8821","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","25","1","2019-10-12 19:35:14","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2019-06-10 09:58:43","N","무료","N","무료","0","1123010200001","250","5","250","5","0","0","0","0","0","37.57749901","127.04444908","PIS02","미배정미점유"
"1191036","동부청과(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","02-2272-8821","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","25","1","2019-10-12 19:35:14","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2019-06-10 09:58:43","N","무료","N","무료","0","1123010200001","250","5","250","5","0","0","0","0","0","37.57762576","127.0442028","PIS02","미배정미점유"
"1191036","동부청과(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","02-2272-8821","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","25","1","2019-10-12 19:35:14","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2019-06-10 09:58:43","N","무료","N","무료","0","1123010200001","250","5","250","5","0","0","0","0","0","37.57743669","127.04454509","PIS02","미배정미점유"
"1191036","동부청과(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","02-2272-8821","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","25","1","2019-10-12 19:35:14","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2019-06-10 09:58:43","N","무료","N","무료","0","1123010200001","250","5","250","5","0","0","0","0","0","37.57741867","127.04458593","PIS02","미배정미점유"
"1247659","구의3동 공영주차장(구)","광진구 구의동 219-15","NW","노외 주차장","3","시간제 + 거주자 주차장","","0","미연계중","159","0","","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:37:47","N","무료","N","무료","80000","","150","5","150","5","0","0","0","0","0","37.5391245","127.09138968","PIS02","미배정미점유"
"1247661","광진광장공영(구)","광진구 군자동 374-7","NW","노외 주차장","1","시간제 주차장","02-465-2026","0","미연계중","36","0","","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:37:48","N","무료","N","무료","120000","","250","5","250","5","0","0","0","0","","37.54770648","127.07326955","PIS02","미배정미점유"
"1247676","공덕1-2 공영주차장(구)","마포구 공덕동 7-133","NW","노외 주차장","3","시간제 + 거주자 주차장","02-300-5041","0","미연계중","56","0","","Y","유료","N","야간 미개방","0900","1800","0000","0000","0000","0000","2019-06-10 09:38:01","N","무료","N","무료","","","1000","60","500","30","0","0","0","0","0","37.54979909","126.96232545","PIS02","미배정미점유"
"1247683","덕원주차장(구)","동대문구 장안동 458-8","NW","노외 주차장","1","시간제 주차장","02-6240-0150","0","미연계중","77","0","","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:37:30","N","무료","N","무료","110000","","1000","30","300","10","0","0","0","0","15000","37.5623712","127.06876256","PIS02","미배정미점유"
"1268767","가족공원주차장(시)","용산구 용산동6가 93-6","NW","노외 주차장","1","시간제 주차장","02-792-5661","0","미연계중","50","0","","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:38:20","N","무료","N","무료","120000","","300","10","300","10","0","0","0","0","0","37.52073083","126.98365962","PIS02","미배정미점유"
"1277148","개화산역(시)","강서구 방화동 526-16","NW","노외 주차장","1","시간제 주차장","","0","미연계중","310","0","","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:38:05","N","무료","N","무료","50000","","100","5","100","5","","","","","0","37.572684","126.8046","PIS02","미배정미점유"
"1277160","당산노외(시)","영등포구 당산동3가 2-1","NW","노외 주차장","1","시간제 주차장","032-872-7078","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","237","312","2019-10-12 19:39:58","Y","유료","N","야간 미개방","0800","2100","0800","2100","0800","2100","2019-06-10 09:35:56","N","무료","N","무료","100000","","150","5","150","5","0","0","0","0","0","37.52625065","126.89945376","PIS02","미배정미점유"
"1364466","도곡로21길 7(구)","강남구 역삼동 795-25","NW","노외 주차장","1","시간제 주차장","02-2176-0920","0","미연계중","78","0","2019-10-04 11:25:02","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-09-20 20:53:46","N","무료","N","무료","280000","","400","5","0","0","0","0","0","0","30000","37.49250002","127.0388068","PIS02","미배정미점유"
"1366394","개봉1동마을공동주차장(구)","구로구 개봉동 416-2","NW","노외 주차장","1","시간제 주차장","","0","미연계중","56","0","","Y","유료","N","야간 미개방","0900","1800","0000","0000","0000","0000","2019-06-10 09:35:56","Y","유료","Y","유료","50000","","50","5","50","5","0","0","0","0","0","37.50455714","126.84608459","PIS02","미배정미점유"
"1366395","개봉1동 노외주차장(구)","구로구 개봉동 134-8","NW","노외 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","134","7357","2019-10-12 19:39:54","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:35:57","N","무료","N","무료","75000","","100","5","100","5","0","0","0","0","0","37.50001376","126.8510351","PIS02","미배정미점유"
"1366430","가로공원주차장(구)","양천구 신월동 263-0","NW","노외 주차장","1","시간제 주차장","02-2065-8332","0","미연계중","376","0","","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:35:41","N","무료","N","무료","70000","","150","5","150","5","0","0","0","0","0","37.53710741","126.8290595","PIS02","미배정미점유"
"1366541","당고개아래(시)","노원구 상계동 65-40","NW","노외 주차장","1","시간제 주차장","02-2648-8292","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","130","124","2019-10-12 19:35:22","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2019-06-10 09:38:07","N","무료","N","무료","100000","","150","5","150","5","0","0","0","0","0","37.66785939","127.076965","PIS02","미배정미점유"
"1366576","개화역 환승주차장(시)","강서구 개화동 663-0","NW","노외 주차장","1","시간제 주차장","02-2663-6449","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","387","150","2019-10-12 19:27:38","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:36:18","N","무료","N","무료","65000","","100","5","100","5","0","0","0","0","0","37.57645065","126.79854257","PIS02","미배정미점유"
"1366593","구로디지털단지역(상)(시)","관악구 신림동 1677-5","NW","노외 주차장","1","시간제 주차장","031-405-8808","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","33","31","2019-10-12 19:35:21","Y","유료","N","야간 미개방","0800","2100","0800","2100","0800","2100","2019-06-10 09:38:07","N","무료","N","무료","100000","","150","5","150","5","0","0","0","0","","37.48481135","126.90323392","PIS02","미배정미점유"
"1366869","당곡중학교공영 (지하주차장)(구)","관악구 봉천동 682-0","NW","노외 주차장","3","시간제 + 거주자 주차장","02-2081-2675","0","미연계중","159","0","","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:38:18","N","무료","N","무료","0","","50","5","50","5","0","0","0","0","","37.49190539","126.93300345","PIS02","미배정미점유"
"1370100","강일동공영주차장(구)","강동구 강일동 292-2","NW","노외 주차장","1","시간제 주차장","02-427-6124","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","85","118","2019-10-12 19:39:54","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:37:25","N","무료","N","무료","80000","","150","5","150","5","0","0","0","0","","37.56645809","127.17226529","PIS02","미배정미점유"
"1372454","대림노외(시)","구로구 구로동 120-5","NW","노외 주차장","1","시간제 주차장","032-872-7078","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","93","6","2019-10-12 19:35:19","Y","유료","N","야간 미개방","0900","1900","0900","1900","0900","1900","2019-06-10 09:38:55","N","무료","N","무료","100000","","150","5","150","5","0","0","0","0","","37.4928472","126.89433148","PIS02","미배정미점유"
"1372873","도봉산역 환승주차장(시)","도봉구 도봉동 288-19","NW","노외 주차장","1","시간제 주차장","02)2290-6047 ","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","364","163","2019-10-12 19:39:51","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-09-06 17:31:15","N","무료","N","무료","65000","","100","5","100","5","0","0","0","0","0","37.68972069","127.04483862","PIS02","미배정미점유"
"1384005","남부골목 전통시장 고객주차장(구)","강서구 화곡동 797-7","NW","노외 주차장","1","시간제 주차장","02-2646-5656","0","미연계중","17","0","","Y","유료","N","야간 미개방","1000","2000","1000","2000","0000","0000","2019-06-10 09:39:07","N","무료","Y","유료","60000","","250","5","250","5","0","0","0","0","0","37.53231129","126.86085655","PIS02","미배정미점유"
"1384007","까치산 전통시장 고객주차장(구)","강서구 화곡동 342-16","NW","노외 주차장","1","시간제 주차장","02-2606-4500","0","미연계중","19","0","","Y","유료","N","야간 미개방","1000","2000","1000","2000","0000","0000","2019-06-10 09:38:55","N","무료","Y","유료","60000","","250","5","250","5","0","0","0","0","0","37.53154144","126.84786095","PIS02","미배정미점유"
"1384016","가로공원길지하 주차장(구)","강서구 화곡동 662-15","NW","노외 주차장","1","시간제 주차장","02-2699-0802","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","501","442","2019-10-12 19:39:53","Y","유료","N","야간 미개방","0700","2300","0900","1500","0000","0000","2019-06-10 09:38:36","N","무료","Y","유료","60000","","100","5","100","5","0","0","0","0","5000","37.53758251","126.83934816","PIS02","미배정미점유"
"1384198","동대문주차장(시)","중구 신당동 251-7","NW","노외 주차장","1","시간제 주차장","02)2254-4901 ","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1098","58","2019-10-12 19:34:38","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:38:56","N","무료","N","무료","180000","","400","5","400","5","0","0","0","0","0","37.56710187","127.01214106","PIS02","미배정미점유"
"1384988","교육청길(구)","강북구 미아동 137-19","NS","노상 주차장","3","시간제 + 거주자 주차장","02-944-3025","0","미연계중","94","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 09:59:27","N","무료","N","무료","100000","1130510100005","200","5","200","5","0","0","0","0","10000","37.61932067","127.02971897","PIS02","미배정미점유"
"1384988","교육청길(구)","강북구 미아동 137-19","NS","노상 주차장","3","시간제 + 거주자 주차장","02-944-3025","0","미연계중","94","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 09:59:27","N","무료","N","무료","100000","1130510100005","200","5","200","5","0","0","0","0","10000","37.6223083","127.02856374","PIS02","미배정미점유"
"1384988","교육청길(구)","강북구 미아동 137-19","NS","노상 주차장","3","시간제 + 거주자 주차장","02-944-3025","0","미연계중","94","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 09:59:27","N","무료","N","무료","100000","1130510100005","200","5","200","5","0","0","0","0","10000","37.62226181","127.02858021","PIS02","미배정미점유"
"1384988","교육청길(구)","강북구 미아동 137-19","NS","노상 주차장","3","시간제 + 거주자 주차장","02-944-3025","0","미연계중","94","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 09:59:27","N","무료","N","무료","100000","1130510100005","200","5","200","5","0","0","0","0","10000","37.62221651","127.02859817","PIS02","미배정미점유"
"1384988","교육청길(구)","강북구 미아동 137-19","NS","노상 주차장","3","시간제 + 거주자 주차장","02-944-3025","0","미연계중","94","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 09:59:27","N","무료","N","무료","100000","1130510100005","200","5","200","5","0","0","0","0","10000","37.62217122","127.02861464","PIS02","미배정미점유"
"1384988","교육청길(구)","강북구 미아동 137-19","NS","노상 주차장","3","시간제 + 거주자 주차장","02-944-3025","0","미연계중","94","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 09:59:27","N","무료","N","무료","100000","1130510100005","200","5","200","5","0","0","0","0","10000","37.62208062","127.02865356","PIS02","미배정미점유"
"1384988","교육청길(구)","강북구 미아동 137-19","NS","노상 주차장","3","시간제 + 거주자 주차장","02-944-3025","0","미연계중","94","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 09:59:27","N","무료","N","무료","100000","1130510100005","200","5","200","5","0","0","0","0","10000","37.62115161","127.02910538","PIS02","미배정미점유"
"1384988","교육청길(구)","강북구 미아동 137-19","NS","노상 주차장","3","시간제 + 거주자 주차장","02-944-3025","0","미연계중","94","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 09:59:27","N","무료","N","무료","100000","1130510100005","200","5","200","5","0","0","0","0","10000","37.62119809","127.02908966","PIS02","미배정미점유"
"1384988","교육청길(구)","강북구 미아동 137-19","NS","노상 주차장","3","시간제 + 거주자 주차장","02-944-3025","0","미연계중","94","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 09:59:27","N","무료","N","무료","100000","1130510100005","200","5","200","5","0","0","0","0","10000","37.62156107","127.02894595","PIS02","미배정미점유"
